LocationID,SensingDateTime,SensingDate,SensingTime,Direction_1,Direction_2,total_of_Directions
86,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,0,1
3,2023-06-05T11:22:00+10:00,2023-06-05,11:22,4,12,16
6,2023-06-05T11:22:00+10:00,2023-06-05,11:22,9,5,14
26,2023-06-05T11:22:00+10:00,2023-06-05,11:22,5,2,7
28,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,5,8
40,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,7,10
41,2023-06-05T11:22:00+10:00,2023-06-05,11:22,30,7,37
42,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,0,1
47,2023-06-05T11:22:00+10:00,2023-06-05,11:22,9,4,13
61,2023-06-05T11:22:00+10:00,2023-06-05,11:22,6,5,11
17,2023-06-05T11:22:00+10:00,2023-06-05,11:22,8,4,12
18,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,3,6
24,2023-06-05T11:22:00+10:00,2023-06-05,11:22,3,6,9
46,2023-06-05T11:22:00+10:00,2023-06-05,11:22,5,1,6
48,2023-06-05T11:22:00+10:00,2023-06-05,11:22,2,2,4
52,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,2,3
53,2023-06-05T11:22:00+10:00,2023-06-05,11:22,9,13,22
57,2023-06-05T11:22:00+10:00,2023-06-05,11:22,4,2,6
58,2023-06-05T11:22:00+10:00,2023-06-05,11:22,4,2,6
4,2023-06-05T11:22:00+10:00,2023-06-05,11:22,16,9,25
5,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,9,10
8,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,0,1
36,2023-06-05T11:22:00+10:00,2023-06-05,11:22,1,0,1
37,2023-06-05T11:22:00+10:00,2023-06-05,11:22,0,4,4
39,2023-06-05T11:22:00+10:00,2023-06-05,11:22,4,2,6
54,2023-06-05T11:22:00+10:00,2023-06-05,11:22,2,1,3
65,2023-06-05T11:22:00+10:00,2023-06-05,11:22,2,6,8
70,2023-06-05T11:22:00+10:00,2023-06-05,11:22,4,3,7
77,2023-06-05T11:22:00+10:00,2023-06-05,11:22,0,4,4
9,2023-06-05T11:22:00+10:00,2023-06-05,11:22,6,8,14
